"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"Cadoc 4 ","Vale of Glamorgan ",14.4,31.1,26,43,21,28.4,0
"Cadoc 5 ","Vale of Glamorgan ",15.3,26.8,19,38,26,19.9,0
"Cadoc 6 ","Vale of Glamorgan ",12.2,16.9,7,38,30,10.4,0
"Castleland 1 ","Vale of Glamorgan ",18.7,30.1,28,50,26,19.8,0
"Cornerswell 1 ","Vale of Glamorgan ",10.5,17.9,7,27,19,11.2,0
"Cornerswell 2 ","Vale of Glamorgan ",13,22.5,12,33,21,15.3,0
"Cornerswell 3 ","Vale of Glamorgan ",14,20.7,14,29,21,18,0
"Cornerswell 4 ","Vale of Glamorgan ",12.5,20,9,30,21,12.6,0
"Court 1 ","Vale of Glamorgan ",17.9,26,24,39,20,23.6,0
"Court 2 ","Vale of Glamorgan ",18,25.7,24,38,20,24.2,0
"Court 3 ","Vale of Glamorgan ",19.4,30.2,34,36,26,29.7,0
"Cowbridge 1 ","Vale of Glamorgan ",10.9,17,7,34,24,8,0
"Cowbridge 2 ","Vale of Glamorgan ",9.1,13.7,2,116,44,5.7,0
"Cowbridge 3 ","Vale of Glamorgan ",11.1,15.9,5,50,44,6.1,0
"Cowbridge 4 ","Vale of Glamorgan ",8.7,11.5,3,138,118,5.7,0
"Dinas Powys 1 ","Vale of Glamorgan ",8.5,13.5,5,77,27,5.6,0
"Dinas Powys 2 ","Vale of Glamorgan ",10.5,16.5,6,43,22,6.8,0
"Dinas Powys 3 ","Vale of Glamorgan ",13.6,23.5,18,46,27,19.5,0
"Dinas Powys 4 ","Vale of Glamorgan ",10,17.8,5,56,29,10.5,0
"Dinas Powys 5 ","Vale of Glamorgan ",9.5,16.1,4,53,33,7.2,0
"Dyfan 1 ","Vale of Glamorgan ",13,19.1,6,27,30,14,0
"Dyfan 2 ","Vale of Glamorgan ",15.5,27.3,18,29,25,18.9,0
"Dyfan 3 ","Vale of Glamorgan ",15.2,27.9,24,30,24,23.1,0
"Gibbonsdown 1 ","Vale of Glamorgan ",17.5,27.2,30,40,30,26.5,0
"Gibbonsdown 2 ","Vale of Glamorgan ",20.8,32.6,38,31,22,35.8,0
"Gibbonsdown 3 ","Vale of Glamorgan ",16.4,24.6,18,37,21,22,0
"Gibbonsdown 4 ","Vale of Glamorgan ",16.7,28.5,32,27,21,32.1,0
"Illtyd 1 ","Vale of Glamorgan ",11.2,16.5,5,32,25,8.5,0
"Illtyd 2 ","Vale of Glamorgan ",16.3,24.3,23,31,20,20.1,0
"Illtyd 3 ","Vale of Glamorgan ",12.1,16.4,7,34,26,10.3,0
"Illtyd 4 ","Vale of Glamorgan ",13.6,23.7,17,34,20,14.9,0
"Illtyd 5 ","Vale of Glamorgan ",13.2,22.9,16,31,20,10.8,0
"Illtyd 6 ","Vale of Glamorgan ",12.6,15.3,6,27,25,9.5,0
"Llandough ","Vale of Glamorgan ",11.5,18.3,7,41,21,10.3,0
"Llandow/Ewenny ","Vale of Glamorgan ",10.5,14.3,5,156,106,6.9,0
"Llantwit Major 1 ","Vale of Glamorgan ",9.8,15.7,6,32,27,5.8,0
"Llantwit Major 2 ","Vale of Glamorgan ",11.2,19.7,8,27,23,11.1,0
"Llantwit Major 3 ","Vale of Glamorgan ",13.1,18,10,54,37,9.7,0
"Llantwit Major 4 ","Vale of Glamorgan ",12.8,21.4,11,23,20,15.5,0
"Llantwit Major 5 ","Vale of Glamorgan ",9.2,14.5,5,66,40,8.2,0
"Llantwit Major 6 ","Vale of Glamorgan ",15.7,24.4,20,31,29,18.9,0
"Llantwit Major 7 ","Vale of Glamorgan ",9.7,15.2,6,49,30,6,0
"Peterston-super-Ely ","Vale of Glamorgan ",8.8,13.7,4,96,70,7.6,0
"Plymouth (The Vale of Glamorgan) 1 ","Vale of Glamorgan ",10.7,14.5,2,34,30,5.2,0
"Plymouth (The Vale of Glamorgan) 2 ","Vale of Glamorgan ",10.5,17.3,8,34,29,10.3,0
"Plymouth (The Vale of Glamorgan) 3 ","Vale of Glamorgan ",9.2,18,5,25,26,4.7,0
"Rhoose 1 ","Vale of Glamorgan ",13.9,20.4,10,73,38,16,0
"Rhoose 2 ","Vale of Glamorgan ",13.7,20.6,11,60,30,14,0
"Rhoose 3 ","Vale of Glamorgan ",10.1,13.4,7,126,79,7.6,0
"Rhoose 4 ","Vale of Glamorgan ",13.2,17.6,5,54,31,9.9,0
"St. Athan 1 ","Vale of Glamorgan ",15.8,22.2,18,62,24,22.1,0
"St. Athan 2 ","Vale of Glamorgan ",13.3,17.6,11,64,39,14.6,0
"St. Augustine's 1 ","Vale of Glamorgan ",11.4,18.8,9,34,22,9.2,0
"St. Augustine's 2 ","Vale of Glamorgan ",10.4,19.6,10,31,20,9.5,0
"St. Augustine's 3 ","Vale of Glamorgan ",11,19.3,7,29,24,7.9,0
"St. Augustine's 4 ","Vale of Glamorgan ",10.4,15.8,10,50,29,5.7,0
"St. Bride's Major 1 ","Vale of Glamorgan ",11.1,15.2,5,64,41,5.6,0
"St. Bride's Major 2 ","Vale of Glamorgan ",9.7,15.5,6,77,28,8.4,0
"Stanwell 1 ","Vale of Glamorgan ",13.6,21.8,15,30,27,18.3,0
"Stanwell 2 ","Vale of Glamorgan ",9.6,16.5,4,20,19,6.8,0
"Stanwell 3 ","Vale of Glamorgan ",14.9,24.6,22,28,29,20.8,0
"Sully 1 ","Vale of Glamorgan ",11.9,15.6,6,52,34,8.6,0
"Sully 2 ","Vale of Glamorgan ",10.9,17.9,4,46,27,8.4,0
"Sully 3 ","Vale of Glamorgan ",13.2,16.6,6,40,35,8.3,0
"Wenvoe 1 ","Vale of Glamorgan ",10.5,15.5,4,61,38,9.5,0
"Wenvoe 2 ","Vale of Glamorgan ",11.4,17.6,6,36,27,12.8,0
"Castleland 2G ","Vale of Glamorgan ",17.2,28.9,24,47,23,21,0
"Castleland 2H ","Vale of Glamorgan ",17.1,27.7,24,50,20,22.1,0
"Adamsdown 1 ","Cardiff ",21.5,30,28,36,20,24.5,1
"Adamsdown 2 ","Cardiff ",15.6,32.2,21,40,19,27.7,1
"Adamsdown 3 ","Cardiff ",18.8,31,37,34,20,28.8,1
"Adamsdown 4 ","Cardiff ",18.1,27.3,27,40,22,19.2,1
"Adamsdown 5 ","Cardiff ",19.7,27.8,29,45,20,17.9,1
"Butetown 1 ","Cardiff ",24.6,29.7,33,59,22,28.1,1
"Caerau (Cardiff) 1 ","Cardiff ",15.5,26.1,22,29,26,24.5,1
"Caerau (Cardiff) 2 ","Cardiff ",18.9,34.3,34,39,26,37.4,1
"Caerau (Cardiff) 3 ","Cardiff ",23.4,33.5,40,44,24,43.8,1
"Caerau (Cardiff) 4 ","Cardiff ",20.3,27.8,31,31,24,32.4,1
"Caerau (Cardiff) 5 ","Cardiff ",14.1,25,20,39,20,26.3,1
"Caerau (Cardiff) 6 ","Cardiff ",18.9,31.6,31,41,26,36.7,1
"Caerau (Cardiff) 7 ","Cardiff ",21.2,34.1,34,37,22,37.4,1
"Canton 1 ","Cardiff ",14.9,22.1,15,33,20,16.8,1
"Canton 2 ","Cardiff ",15.4,22.8,20,38,20,15.7,1
"Canton 3 ","Cardiff ",16.4,26.9,25,31,23,27.4,1
"Canton 4 ","Cardiff ",14.1,21,11,41,20,10.4,1
"Canton 5 ","Cardiff ",14,21.3,18,38,20,15.5,1
"Canton 6 ","Cardiff ",12.2,17.5,5,39,27,9.3,1
"Canton 7 ","Cardiff ",11.1,18.1,11,37,22,8.9,1
"Canton 8 ","Cardiff ",11.1,18.4,9,36,27,10.9,1
"Canton 9 ","Cardiff ",14.5,22.9,17,40,21,16.2,1
"Cathays 1 ","Cardiff ",13,17.7,8,37,20,11.1,1
"Cathays 2 ","Cardiff ",13.2,17.2,3,30,20,5.3,1
"Cathays 3 ","Cardiff ",16.8,15.8,6,36,21,11.6,1
"Cathays 4 ","Cardiff ",18.3,19.8,5,35,28,11.3,1
"Cathays 5 ","Cardiff ",13,18.2,6,35,20,11.3,1
"Cathays 6 ","Cardiff ",14.8,13.8,3,40,22,13.9,1
"Cathays 7 ","Cardiff ",10.1,12.7,4,40,28,12.2,1
"Cathays 8 ","Cardiff ",16.4,18.2,12,36,20,9.4,1
"Creigiau/St. Fagans 1 ","Cardiff ",11.9,17.1,5,59,23,6.4,1
"Creigiau/St. Fagans 2 ","Cardiff ",8.9,12.4,4,54,26,4.4,1
"Creigiau/St. Fagans 3 ","Cardiff ",10.1,15.8,6,36,31,9.1,1
"Cyncoed 1 ","Cardiff ",11.3,13,4,33,28,6.7,1
"Cyncoed 2 ","Cardiff ",11.4,14.8,7,30,22,6.7,1
"Cyncoed 3 ","Cardiff ",11.2,15,5,26,25,5.1,1
"Cyncoed 4 ","Cardiff ",10.8,16,4,33,24,8.2,1
"Cyncoed 5 ","Cardiff ",11.4,14.1,4,28,28,6,1
"Cyncoed 6 ","Cardiff ",10.5,16.2,6,35,24,5.9,1
"Cyncoed 7 ","Cardiff ",11.8,15,4,27,31,4.7,1
"Ely 1 ","Cardiff ",20.7,34.6,39,36,21,45.6,1
"Ely 2 ","Cardiff ",21.5,33.2,47,30,24,46.2,1
"Ely 3 ","Cardiff ",21.6,37.2,44,31,21,46.4,1
"Ely 4 ","Cardiff ",23.9,33.3,44,34,25,44,1
"Ely 5 ","Cardiff ",19.7,35.2,52,30,20,48,1
"Ely 6 ","Cardiff ",18.5,31.3,44,32,21,38.2,1
"Ely 7 ","Cardiff ",14.6,18.6,10,22,21,18.6,1
"Ely 8 ","Cardiff ",18.5,29.3,38,29,21,41.7,1
"Ely 9 ","Cardiff ",11.8,20.1,8,25,25,19.9,1
"Ely 10 ","Cardiff ",15.7,29.8,33,38,20,37.8,1
"Fairwater (Cardiff) 1 ","Cardiff ",11.4,19.9,12,26,26,10,1
"Fairwater (Cardiff) 2 ","Cardiff ",15.3,26.4,19,22,20,25.4,1
"Fairwater (Cardiff) 3 ","Cardiff ",15.7,25,23,28,23,27.6,1
"Fairwater (Cardiff) 4 ","Cardiff ",17.5,28.2,30,22,23,30.5,1
"Fairwater (Cardiff) 5 ","Cardiff ",15,30.5,37,28,21,31.7,1
"Fairwater (Cardiff) 6 ","Cardiff ",14.5,21.1,8,30,22,16.9,1
"Fairwater (Cardiff) 7 ","Cardiff ",19.1,31.9,34,32,21,32.4,1
"Fairwater (Cardiff) 8 ","Cardiff ",14.3,20.4,12,31,29,16.1,1
"Gabalfa 1 ","Cardiff ",13.2,16,6,21,19,5.9,1
"Gabalfa 2 ","Cardiff ",15.7,19.6,9,30,26,21.2,1
"Gabalfa 3 ","Cardiff ",13.9,17.2,10,29,20,9.8,1
"Gabalfa 4 ","Cardiff ",14.4,15.9,7,29,20,10,1
"Grangetown 1 ","Cardiff ",17.8,23.3,18,48,20,18.7,1
"Grangetown 2 ","Cardiff ",17,24.5,19,60,21,26.6,1
"Grangetown 3 ","Cardiff ",20.3,27.4,27,56,20,25.3,1
"Grangetown 4 ","Cardiff ",21.9,34.9,35,62,21,30,1
"Grangetown 5 ","Cardiff ",23.3,25.1,25,52,25,28.1,1
"Grangetown 6 ","Cardiff ",22.6,27.7,24,54,20,25.8,1
"Grangetown 7 ","Cardiff ",21.9,27,26,50,20,24.5,1
"Grangetown 8 ","Cardiff ",18.8,26,22,50,20,22.1,1
"Grangetown 9 ","Cardiff ",23.1,28,30,52,20,29.4,1
"Heath 1 ","Cardiff ",10.6,13.7,2,34,24,4.7,1
"Heath 2 ","Cardiff ",12.3,18,8,38,30,8.1,1
"Heath 3 ","Cardiff ",10.1,15.1,5,39,24,7.2,1
"Heath 4 ","Cardiff ",11.5,18.7,6,39,26,11.5,1
"Heath 5 ","Cardiff ",12.7,17.8,8,41,28,9.9,1
"Heath 6 ","Cardiff ",10.4,15.2,3,39,24,5.9,1
"Heath 7 ","Cardiff ",11.7,19.6,8,35,20,12.8,1
"Heath 8 ","Cardiff ",10.3,15.8,6,37,23,7.6,1
"Lisvane 1 ","Cardiff ",9.4,13.2,4,51,29,5.4,1
"Lisvane 2 ","Cardiff ",9.9,9.5,3,46,28,5.4,1
"Llandaff 1 ","Cardiff ",9.7,16.2,4,24,25,5.9,1
"Llandaff 2 ","Cardiff ",11.1,15.5,5,26,21,7.4,1
"Llandaff 3 ","Cardiff ",10.1,16.4,10,29,22,7,1
"Llandaff 4 ","Cardiff ",9.8,16.1,3,28,29,7.4,1
"Llandaff 5 ","Cardiff ",12.5,14.4,6,28,24,5.6,1
"Llandaff 6 ","Cardiff ",10.5,17.9,8,29,20,7.1,1
"Llandaff North 1 ","Cardiff ",17.9,28,35,31,23,30.5,1
"Llandaff North 2 ","Cardiff ",13.4,24,15,22,20,18.6,1
"Llandaff North 3 ","Cardiff ",18.6,26.7,22,37,29,27.3,1
"Llandaff North 4 ","Cardiff ",19.2,28,32,39,24,32,1
"Llandaff North 5 ","Cardiff ",13.4,20.4,9,27,20,12.8,1
"Llandaff North 6 ","Cardiff ",16.5,24.9,23,27,24,23.7,1
"Llanishen 1 ","Cardiff ",11.9,18.5,10,31,21,12.1,1
"Llanishen 2 ","Cardiff ",14.6,25.6,22,31,27,22.2,1
"Llanishen 3 ","Cardiff ",9.6,13.9,5,40,24,5.2,1
"Llanishen 4 ","Cardiff ",9.3,14.4,6,32,25,5.4,1
"Llanishen 5 ","Cardiff ",8.4,12,4,34,28,4.4,1
"Llanishen 6 ","Cardiff ",12,16.7,9,30,25,8.2,1
"Llanishen 7 ","Cardiff ",12.1,17.9,10,24,27,8.2,1
"Llanishen 8 ","Cardiff ",11,17.5,7,31,30,8.6,1
"Llanishen 9 ","Cardiff ",11.2,17.8,5,41,24,5.3,1
"Llanishen 10 ","Cardiff ",18,25.8,21,25,24,20.9,1
"Llanrumney 1 ","Cardiff ",17.3,24.1,19,29,20,27.5,1
"Llanrumney 2 ","Cardiff ",17.7,27.5,25,25,22,28.6,1
"Llanrumney 3 ","Cardiff ",20.4,25.5,25,36,23,31.3,1
"Llanrumney 4 ","Cardiff ",16.2,28.3,24,35,21,29.8,1
"Llanrumney 5 ","Cardiff ",13.8,20.6,13,32,20,19.4,1
"Llanrumney 6 ","Cardiff ",22.5,31,39,36,21,36.5,1
"Llanrumney 7 ","Cardiff ",20.7,28.9,37,37,20,39.5,1
"Pentwyn 1 ","Cardiff ",15.4,22.9,14,40,20,17.4,1
"Pentwyn 2 ","Cardiff ",21.3,26.6,31,30,20,31.9,1
"Pentwyn 3 ","Cardiff ",22.4,31.7,41,32,21,37.5,1
"Pentwyn 4 ","Cardiff ",15.7,23.4,24,33,20,24.7,1
"Pentwyn 5 ","Cardiff ",18.5,29.9,35,26,20,29.8,1
"Pentwyn 6 ","Cardiff ",15.7,21.2,15,30,20,17.1,1
"Pentwyn 7 ","Cardiff ",14.4,19.3,13,34,25,16,1
"Pentwyn 8 ","Cardiff ",14.4,25.2,25,39,20,17.1,1
"Pentwyn 9 ","Cardiff ",21.8,21.6,16,38,24,16.2,1
"Pentwyn 10 ","Cardiff ",14.3,19.2,17,39,20,13.6,1
"Pentyrch 1 ","Cardiff ",10.2,14.4,6,69,26,8.6,1
"Pentyrch 2 ","Cardiff ",12.8,15,9,53,24,8.6,1
"Penylan 1 ","Cardiff ",13.1,18.5,7,30,26,7.3,1
"Penylan 2 ","Cardiff ",12,18.6,13,38,22,8.7,1
"Penylan 3 ","Cardiff ",9.2,14.1,3,34,20,4.7,1
"Penylan 4 ","Cardiff ",13.6,20.9,11,34,20,8.4,1
"Penylan 5 ","Cardiff ",13.1,21.6,12,43,23,9.2,1
"Penylan 6 ","Cardiff ",11.4,16.3,5,27,24,9.1,1
"Penylan 7 ","Cardiff ",10.2,15.1,6,37,30,4.7,1
"Penylan 8 ","Cardiff ",11.9,17.1,6,28,26,10.7,1
"Plasnewydd 1 ","Cardiff ",19.7,18.8,17,39,20,12.8,1
"Plasnewydd 2 ","Cardiff ",17.2,25.8,21,40,21,13.2,1
"Plasnewydd 3 ","Cardiff ",14.8,18.9,15,35,19,9.4,1
"Plasnewydd 4 ","Cardiff ",13,15.9,11,40,23,11.4,1
"Plasnewydd 5 ","Cardiff ",11.8,22,18,47,20,9.6,1
"Plasnewydd 6 ","Cardiff ",16.6,22.6,18,44,20,12.2,1
"Plasnewydd 7 ","Cardiff ",18.3,30.5,32,45,20,17.5,1
"Plasnewydd 8 ","Cardiff ",16.7,15.2,10,35,21,8.7,1
"Plasnewydd 9 ","Cardiff ",16.4,20.8,13,40,20,20.4,1
"Plasnewydd 10 ","Cardiff ",17.2,18.4,10,36,19,7.6,1
"Plasnewydd 11 ","Cardiff ",17.5,20.1,13,38,20,10,1
"Pontprennau/Old St. Mellons 1 ","Cardiff ",14.8,20,13,33,27,18.9,1
"Pontprennau/Old St. Mellons 2 ","Cardiff ",13,16.6,9,34,28,10.1,1
"Pontprennau/Old St. Mellons 3 ","Cardiff ",11.8,12.1,7,47,23,4.9,1
"Pontprennau/Old St. Mellons 4 ","Cardiff ",13.3,12.7,4,63,37,7.3,1
"Pontprennau/Old St. Mellons 5 ","Cardiff ",13.3,17.7,10,39,28,10,1
"Radyr & Morganstown 1 ","Cardiff ",9.7,12.9,5,47,25,4.2,1
"Radyr & Morganstown 2 ","Cardiff ",10,12.9,3,38,23,3.3,1
"Rhiwbina 1 ","Cardiff ",9.3,17.5,5,39,29,7.5,1
"Rhiwbina 2 ","Cardiff ",11,15.5,5,41,30,5.6,1
"Rhiwbina 3 ","Cardiff ",10,15.1,2,42,25,5.7,1
"Rhiwbina 4 ","Cardiff ",11.1,17,5,44,26,8.9,1
"Rhiwbina 5 ","Cardiff ",10.7,14.3,3,43,29,6.4,1
"Rhiwbina 6 ","Cardiff ",11.4,17.2,4,39,21,7,1
"Rhiwbina 7 ","Cardiff ",11.2,17.7,6,38,23,8.5,1
"Riverside 1 ","Cardiff ",24.7,26.8,34,40,22,25.6,1
"Riverside 2 ","Cardiff ",25.7,29.5,28,45,28,26.9,1
"Riverside 3 ","Cardiff ",21,31.9,34,41,21,33,1
"Riverside 4 ","Cardiff ",11.1,19.2,10,37,29,6.6,1
"Riverside 5 ","Cardiff ",12.7,18.5,10,37,22,6.4,1
"Riverside 6 ","Cardiff ",11.3,18.2,10,42,20,6.6,1
"Riverside 7 ","Cardiff ",9.6,19,9,43,23,5.9,1
"Riverside 8 ","Cardiff ",21.6,23.3,21,47,30,23,1
"Rumney 1 ","Cardiff ",13.5,22.7,16,30,25,18.7,1
"Rumney 2 ","Cardiff ",13.4,20.3,9,31,22,15.3,1
"Rumney 3 ","Cardiff ",12.9,21.1,10,32,30,16.2,1
"Rumney 4 ","Cardiff ",15.9,27.7,27,22,26,29,1
"Rumney 5 ","Cardiff ",22.4,33.6,34,28,22,41.4,1
"Rumney 6 ","Cardiff ",17.9,26.2,26,30,20,29.3,1
"Splott 1 ","Cardiff ",19.3,26.6,21,32,27,20.5,1
"Splott 2 ","Cardiff ",16.8,24.5,21,29,24,20.3,1
"Splott 3 ","Cardiff ",20.3,32,40,25,20,39.8,1
"Splott 4 ","Cardiff ",16.6,26.4,26,30,23,24.7,1
"Splott 5 ","Cardiff ",19.6,28.8,32,31,21,24,1
"Splott 6 ","Cardiff ",22.2,34.2,42,39,28,34,1
"Splott 7 ","Cardiff ",17.1,24.5,22,39,30,19.3,1
"Splott 8 ","Cardiff ",19.7,31.7,36,31,23,41.8,1
"Trowbridge 1 ","Cardiff ",14.9,21.2,10,40,27,15.1,1
"Trowbridge 2 ","Cardiff ",14.4,23.1,17,34,22,17.4,1
"Trowbridge 3 ","Cardiff ",22.1,31.7,31,35,24,26.6,1
"Trowbridge 4 ","Cardiff ",23.1,36.6,40,43,22,34.5,1
"Trowbridge 5 ","Cardiff ",19.7,32.6,34,30,20,33.1,1
"Trowbridge 6 ","Cardiff ",14.1,19.8,12,46,20,13.3,1
"Trowbridge 7 ","Cardiff ",17.4,31.2,33,30,21,34.9,1
"Trowbridge 8 ","Cardiff ",24.5,38.3,49,38,22,40.6,1
"Trowbridge 9 ","Cardiff ",18.1,25.6,26,56,35,18.2,1
"Trowbridge 10 ","Cardiff ",17.3,32.8,34,28,22,36,1
"Whitchurch and Tongwynlais 1 ","Cardiff ",8.4,13.6,3,25,25,3.3,1
"Whitchurch and Tongwynlais 2 ","Cardiff ",11.6,18.4,12,33,34,13,1
"Whitchurch and Tongwynlais 3 ","Cardiff ",11.9,20.7,11,26,24,15.3,1
"Whitchurch and Tongwynlais 4 ","Cardiff ",12.6,18.7,5,31,24,9.5,1
"Whitchurch and Tongwynlais 5 ","Cardiff ",12.6,21.2,13,28,20,11.7,1
"Whitchurch and Tongwynlais 6 ","Cardiff ",9.5,16.8,3,28,28,9.1,1
"Whitchurch and Tongwynlais 7 ","Cardiff ",14.1,18.1,13,79,25,15.7,1
"Whitchurch and Tongwynlais 8 ","Cardiff ",11.5,16.6,5,30,25,9.6,1
"Whitchurch and Tongwynlais 9 ","Cardiff ",14.8,30.1,22,29,24,22.4,1
"Whitchurch and Tongwynlais 10 ","Cardiff ",10.2,17.1,4,25,24,4.7,1
"Cathays 9 ","Cardiff ",12.6,15.2,3,43,27,12.4,1
"Cathays 10 ","Cardiff ",12.4,12.3,2,49,27,3.5,1
"Butetown 2 ","Cardiff ",6,13.6,4,72,30,5.5,1
"Cathays 11 ","Cardiff ",4.7,14.4,1,50,20,2.6,1
"Butetown 3 ","Cardiff ",19.8,27,26,65,20,22.9,1
"Butetown 4 ","Cardiff ",7.3,12.6,6,63,21,5.1,1
"Butetown 5 ","Cardiff ",10.5,12,6,61,22,3.4,1
"Grangetown 10 ","Cardiff ",8.8,11.3,3,53,30,3,1
"Grangetown 11 ","Cardiff ",16,28.8,25,66,30,22.2,1
"Grangetown 12 ","Cardiff ",9,14.3,4,63,32,4.6,1
"Radyr & Morganstown 3 ","Cardiff ",10.3,10.7,4,28,30,3.9,1
"Llanishen 11 ","Cardiff ",13.7,22.1,11,34,29,9.7,1
"Butetown 6 ","Cardiff ",7.7,14.4,7,58,20,5,1
"Butetown 7 ","Cardiff ",10.9,17.3,7,59,21,8.6,1
"Butetown 8 ","Cardiff ",13.3,23.8,17,58,26,10,1
"Llanishen 12 ","Cardiff ",14.7,24.5,13,32,25,15.6,1
"Radyr & Morganstown 4 ","Cardiff ",10.3,16.2,5,30,24,5.6,1
"Aberaman North 1 ","Rhondda Cynon Taf ",16.8,29,24,31,20,26,0
"Aberaman North 2 ","Rhondda Cynon Taf ",17.6,32.4,30,35,21,30.4,0
"Aberaman North 3 ","Rhondda Cynon Taf ",16.8,27.4,17,37,20,23.5,0
"Aberaman South 1 ","Rhondda Cynon Taf ",12.9,27.9,22,44,20,25.6,0
"Aberaman South 2 ","Rhondda Cynon Taf ",15.7,29.1,29,50,16,31.4,0
"Aberaman South 3 ","Rhondda Cynon Taf ",16.1,34.4,27,43,19,36.4,0
"Abercynon 1 ","Rhondda Cynon Taf ",15.2,24.8,14,85,30,23.3,0
"Abercynon 2 ","Rhondda Cynon Taf ",20.7,36.4,39,76,21,47.7,0
"Abercynon 3 ","Rhondda Cynon Taf ",18.8,27.3,21,76,21,30.6,0
"Abercynon 4 ","Rhondda Cynon Taf ",14.9,23.7,11,76,26,21.2,0
"Aberdare East 1 ","Rhondda Cynon Taf ",13.6,25.1,14,29,26,17.2,0
"Aberdare East 2 ","Rhondda Cynon Taf ",13.9,26.5,18,26,23,21.7,0
"Aberdare East 3 ","Rhondda Cynon Taf ",15.3,25.8,17,31,19,15.8,0
"Aberdare East 4 ","Rhondda Cynon Taf ",16.8,29.9,24,25,19,25.1,0
"Aberdare West/Llwydcoed 1 ","Rhondda Cynon Taf ",13.6,22.9,9,22,22,13.3,0
"Aberdare West/Llwydcoed 2 ","Rhondda Cynon Taf ",14.8,23.8,11,45,32,19,0
"Aberdare West/Llwydcoed 3 ","Rhondda Cynon Taf ",15.9,30.7,25,33,22,24.5,0
"Aberdare West/Llwydcoed 4 ","Rhondda Cynon Taf ",18.6,29.3,22,27,21,24.1,0
"Aberdare West/Llwydcoed 5 ","Rhondda Cynon Taf ",17,26,20,31,21,19.7,0
"Aberdare West/Llwydcoed 6 ","Rhondda Cynon Taf ",12,15.2,4,22,22,8.1,0
"Beddau 1 ","Rhondda Cynon Taf ",16.6,22.1,8,31,23,18.5,0
"Beddau 2 ","Rhondda Cynon Taf ",16.9,24.9,19,28,24,26.6,0
"Beddau 3 ","Rhondda Cynon Taf ",9.7,18.4,8,37,29,9.7,0
"Brynna 1 ","Rhondda Cynon Taf ",15.8,19.7,7,33,21,17.1,0
"Brynna 2 ","Rhondda Cynon Taf ",16.2,25.6,11,46,25,19.5,0
"Church Village 1 ","Rhondda Cynon Taf ",17.2,27,24,28,24,26.8,0
"Cilfynydd 1 ","Rhondda Cynon Taf ",15.2,24.4,17,30,19,21.3,0
"Cilfynydd 2 ","Rhondda Cynon Taf ",18.9,25.9,14,33,21,23.2,0
"Cwm Clydach 1 ","Rhondda Cynon Taf ",17.5,31.2,33,50,20,37.6,0
"Cwm Clydach 2 ","Rhondda Cynon Taf ",15.9,28.7,19,43,23,33.6,0
"Cwmbach 1 ","Rhondda Cynon Taf ",14.4,27.2,19,40,22,24.6,0
"Cwmbach 2 ","Rhondda Cynon Taf ",18.8,36.8,25,41,24,31.7,0
"Cwmbach 3 ","Rhondda Cynon Taf ",13.8,23,6,42,24,14.8,0
"Cymmer (Rhondda Cynon Taf) 1 ","Rhondda Cynon Taf ",14.5,26.1,17,49,22,24.2,0
"Cymmer (Rhondda Cynon Taf) 2 ","Rhondda Cynon Taf ",16.4,25.7,15,27,25,28.9,0
"Cymmer (Rhondda Cynon Taf) 3 ","Rhondda Cynon Taf ",19.7,34.6,33,28,26,43.3,0
"Cymmer (Rhondda Cynon Taf) 4 ","Rhondda Cynon Taf ",20.2,36.3,35,24,24,41.2,0
"Ferndale 1 ","Rhondda Cynon Taf ",14.5,28.2,19,31,19,25,0
"Ferndale 2 ","Rhondda Cynon Taf ",16.7,28.7,20,32,20,23.9,0
"Ferndale 3 ","Rhondda Cynon Taf ",16.7,30.3,21,47,28,32.3,0
"Gilfach Goch 1 ","Rhondda Cynon Taf ",16.4,30,17,49,26,30.9,0
"Gilfach Goch 2 ","Rhondda Cynon Taf ",18.5,36.2,28,35,22,47.3,0
"Glyncoch 1 ","Rhondda Cynon Taf ",23.7,34.5,36,68,22,45.7,0
"Glyncoch 2 ","Rhondda Cynon Taf ",18.1,29.3,22,71,23,32.8,0
"Graig (Rhondda Cynon Taf) 1 ","Rhondda Cynon Taf ",15.4,22.9,17,41,24,20.4,0
"Graig (Rhondda Cynon Taf) 2 ","Rhondda Cynon Taf ",18.4,28.9,23,41,28,19.2,0
"Hawthorn 1 ","Rhondda Cynon Taf ",15.4,24.1,12,27,27,26.3,0
"Hawthorn 2 ","Rhondda Cynon Taf ",19.1,28.7,21,27,24,30.7,0
"Hirwaun 1 ","Rhondda Cynon Taf ",15.9,25,15,44,28,19.3,0
"Hirwaun 2 ","Rhondda Cynon Taf ",15,29.8,17,50,29,26.2,0
"Hirwaun 3 ","Rhondda Cynon Taf ",20.9,31.5,32,38,20,35.2,0
"Llanharan 1 ","Rhondda Cynon Taf ",19.5,25.9,20,36,22,23.8,0
"Llanharan 2 ","Rhondda Cynon Taf ",12.1,20,6,41,32,11,0
"Llanharry 1 ","Rhondda Cynon Taf ",11.6,20.2,7,36,30,14.4,0
"Llanharry 2 ","Rhondda Cynon Taf ",21,29.5,29,26,26,38.5,0
"Llantrisant Town 1 ","Rhondda Cynon Taf ",11.6,17.6,6,41,26,11.6,0
"Llantrisant Town 2 ","Rhondda Cynon Taf ",11.9,17.1,4,51,33,6.4,0
